legislator_id,name_first,name_middle,name_last,name_suffix,nickname,chamber_name,title,abbr_title,district,party,photo_url,term_start_year,term_end_year,term_id,spon_num,cospon_num,spon_signed_num,cospon_signed_num
406,Mike,"",Cierpiot,"","",House,Representative,Rep.,30,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=476,2013,2014,2,2,41,1,3
420,Eric,"",Burlison,"","",House,Representative,Rep.,136,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=360,2011,2012,1,15,51,1,3
442,Jeff,"",Grisamore,,"",House,Representative,Rep.,34,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=341,2013,2014,2,20,22,1,1
416,Jay,"",Barnes,,"",House,Representative,Rep.,114,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=504,2011,2012,1,23,26,1,1
436,Tom,"",Flanigan,"","",House,Representative,Rep.,127,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=369,2011,2012,1,9,24,1,1
438,Diane,"",Franklin,"","",House,Representative,Rep.,123,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=455,2013,2014,2,8,48,1,3
457,Mike,"",Kelley,"","",House,Representative,Rep.,127,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=507,2013,2014,2,14,83,2,2
383,Cole,"",McNary,,"",House,Representative,Rep.,86,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem086.jpg,2011,2012,1,4,32,1,2
479,Don,"",Phillips,,"",House,Representative,Rep.,138,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=732,2013,2014,2,6,35,1,6
563,Don,"",Gosen,"","",House,Representative,Rep.,101,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=456,2013,2014,2,16,6,4,1
467,Nick,"",Marshall,"","",House,Representative,Rep.,30,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=493,2011,2012,1,11,17,2,1
465,Mike,"",Leara,"","",House,Representative,Rep.,96,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=377,2013,2014,2,6,20,1,2
464,Jeanie,"",Lauer,"","",House,Representative,Rep.,32,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=462,2013,2014,2,8,22,1,4
406,Mike,"",Cierpiot,"","",House,Representative,Rep.,30,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=476,2013,2014,2,5,28,2,6
442,Jeff,"",Grisamore,,"",House,Representative,Rep.,34,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=341,2013,2014,2,6,15,1,2
426,Sandy,"",Crawford,"","",House,Representative,Rep.,119,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=478,2011,2012,1,2,54,1,4
391,Rodney,"",Schad,,"",House,Representative,Rep.,115,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem115.jpg,2011,2012,1,10,63,1,4
430,John,"",Diehl,,"",House,Representative,Rep.,89,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=365,2013,2014,2,9,67,2,11
534,Jim,"",Neely,,"",House,Representative,Rep.,8,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=645,2013,2014,2,6,32,2,4
368,Barney,"",Fisher,,"",House,Representative,Rep.,125,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem125.jpg,2011,2012,1,4,62,1,3
457,Mike,"",Kelley,"","",House,Representative,Rep.,127,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=507,2013,2014,2,19,78,1,4
487,Dwight,"",Scharnhorst,,"",House,Representative,Rep.,98,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=137,2013,2014,2,11,29,1,2
484,Jeanie,"",Riddle,"","",House,Representative,Rep.,20,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=384,2011,2012,1,11,47,2,5
486,Lyle,"",Rowland,"","",House,Representative,Rep.,155,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=488,2013,2014,2,11,41,1,2
564,Steve,"",Lynch,"","",House,Representative,Rep.,122,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=685,2013,2014,2,2,42,1,8
376,Scott,"",Largent,,"",House,Representative,Rep.,120,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem120.jpg,2011,2012,1,8,25,3,1
364,David,"",Day,,"",House,Representative,Rep.,148,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem148.jpg,2011,2012,1,7,33,2,4
488,Dave,"",Schatz,,"",House,Representative,Rep.,61,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=454,2013,2014,2,7,22,2,1
437,Lyndall,"",Fraker,"","",House,Representative,Rep.,137,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=482,2013,2014,2,9,40,1,1
514,Scott,"",Fitzpatrick,"","",House,Representative,Rep.,158,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=648,2013,2014,2,6,43,1,3
497,Noel,"",Torpey,"","",House,Representative,Rep.,29,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=494,2013,2014,2,12,36,1,2
502,Anne,"",Zerr,"","",House,Representative,Rep.,65,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=390,2013,2014,2,16,49,1,1
433,Kevin,"",Elmer,,"",House,Representative,Rep.,141,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=480,2011,2012,1,11,39,1,3
461,Bart,"",Korman,"","",House,Representative,Rep.,99,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=468,2011,2012,1,8,55,1,3
469,John,"",McCaherty,"","",House,Representative,Rep.,90,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=463,2011,2012,1,8,43,1,1
401,Don,"",Wells,,"",House,Representative,Rep.,147,Republican,http://www.house.mo.gov/billtracking/bills121/member/mem147.jpg,2011,2012,1,14,71,1,3
559,Lincoln,"",Hough,"","",House,Representative,Rep.,140,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=510,2011,2012,1,6,46,1,2
563,Don,"",Gosen,"","",House,Representative,Rep.,84,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=456,2011,2012,1,7,15,1,2
465,Mike,"",Leara,"","",House,Representative,Rep.,95,Republican,http://www.house.mo.gov/MemberPhoto.aspx?id=377,2011,2012,1,9,18,1,1
